name  party handle  second_handle
Rand Paul r randpaul
Bernie Sanders  d BernieSanders sensanders
Marco Rubio r marcorubio
Ted Cruz  r tedcruz sentedcruz
Martin O'Malley d MartinOMalley
Hillary Clinton d hillaryclinton
George Pataki r governorpataki
Jim Webb  d jimwebbusa
Ben Carson r  realbencarson
Chris Christie  r chrischristie
Rick Santorum r ricksantorum
Lindsey Graham  r lindseygrahamsc grahamblog
Mike Huckabee r GovMikeHuckabee
Lincoln Chafee  d lincolnchafee
Scott Walker  r scottwalker
Rick Perry  r governorperry
Carly Fiorina r carlyfiorina
Jeb Bush  r jebbush
Bobby Jindal  r bobbyjindal
Donald Trump  r realdonaldtrump
John Kasich r johnkasich
Jim Gilmore r gov_gilmore
